en-CA;CDTS2018MLDVD;5187381400;OL_DE19;1,199;1,079;;CA$ 120;-10%;($120);1019;;CA$ 180;-15%;($180)
en-CA;ESDCDTS2018ML;209744;OL_DE19;1,199;1,079;;CA$ 120;-10%;($120);1019;;CA$ 180;-15%;($180)
en-CA;ESDCDTS2018MLUG;209745;OL_DE19;515;463;;CA$ 50;-10%;($52);437;;CA$ 75;-15%;($78)
de-DE;ESDCDTS2018ML;209744;OL_DE19;999;899;;10%;-10%;($100);849;;15%;-15%;($150)
de-DE;ESDCDTS2018MLUG;209745;OL_DE19;479;431;;10%;-10%;($48);407;;15%;-15%;($72)
en-AU;ESDCDTS2018ML;209744;OL_DE19;1399;1259;;10%;-10%;($140);1189;;15%;-15%;($210)
en-AU;ESDCDTS2018MLUG;209745;OL_DE19;599;539;;10%;-10%;($60);509;;15%;-15%;($90)
en-GB;ESDCDTS2018ML;209744;OL_DE19;899.99;809.99;;10%;-10%;($90);764.99;;15%;-15%;($135)
en-GB;ESDCDTS2018MLUG;209745;OL_DE19;439.99;394.99;;10%;-10%;($45);373.99;;15%;-15%;($66)
en-US;CDTS2018MLDVD;5187381400;OL_DE19;999;899;;$100 ;-10%;($100);849;;$150 ;-15%;($150)
en-US;ESDCDTS2018ML;209744;OL_DE19;999;899;;$100 ;-10%;($100);849;;$150 ;-15%;($150)
en-US;ESDCDTS2018MLUG;209745;OL_DE19;429;386;;$40 ;-10%;($43);364;;$65 ;-15%;($65)
fr-FR;ESDCDTS2018ML;209744;OL_DE19;999;899;;10%;-10%;($100);849;;15%;-15%;($150)
fr-FR;ESDCDTS2018MLUG;209745;OL_DE19;479;431;;10%;-10%;($48);407;;15%;-15%;($72)
ja-JP;ESDCDTS2018ML;209744;OL_DE19;151,200;136,080;;10%;-10%;($15,120);128520;;15%;-15%;($22,680)
ja-JP;ESDCDTS2018MLUG;209745;OL_DE19;75,600;68,040;;10%;-10%;($7,560);64260;;15%;-15%;($11,340)
