en-CA;ESDVS2018ULML;205841;VSP ULT 2018;99.99;69.99;;30%;-30%;($30);59.99;;40%;-40%;($40);59.99;;40%;-40%;($40);49.99;;50%;-50%;($50);49.99;;50%;-50%;($50);49.99;;50%;-50%;($50)
en-CA;ESDVS2018ULMLUG;205842;VSP ULT 2018;79.99;54.99;;30%;-31%;($25);47.99;;40%;-40%;($32);47.99;;40%;-40%;($32);39.99;;50%;-50%;($40);39.99;;50%;-50%;($40);39.99;;50%;-50%;($40)
en-CA;VS2018UMLMBAM;5143658400;VSP ULT 2018;99.99;69.99;;30%;-30%;($30);59.99;;40%;-40%;($40);59.99;;40%;-40%;($40);49.99;;50%;-50%;($50);49.99;;50%;-50%;($50);49.99;;50%;-50%;($50)
de-DE;ESDVS2018ULML;205841;VSP ULT 2018;89,99;69,99;;20 %;-22%;($20);64.99;;25%;-28%;($25);64.99;;25%;-28%;($25);62.99;;30%;-30%;($27);62.99;;30%;-30%;($27);62.99;;30%;-30%;($27)
de-DE;ESDVS2018ULMLUG;205842;VSP ULT 2018;69,99;54,99;;20 %;-21%;($15);49.99;;25%;-29%;($20);49.99;;25%;-29%;($20);48.99;;30%;-30%;($21);48.99;;30%;-30%;($21);48.99;;30%;-30%;($21)
en-AU;ESDVS2018ULML;205841;VSP ULT 2018;129;103;;20%;-20%;($26);96;;25%;-26%;($33);96;;25%;-26%;($33);90;;30%;-30%;($39);90;;30%;-30%;($39);90;;30%;-30%;($39)
en-AU;ESDVS2018ULMLUG;205842;VSP ULT 2018;99;79;;20%;-20%;($20);74;;25%;-25%;($25);74;;25%;-25%;($25);69;;30%;-30%;($30);69;;30%;-30%;($30);69;;30%;-30%;($30)
en-GB;ESDVS2018ULML;205841;VSP ULT 2018;89.99;69.99;;20%;-22%;($20);64.99;;25%;-28%;($25);64.99;;25%;-28%;($25);62.99;;30%;-30%;($27);62.99;;30%;-30%;($27);62.99;;30%;-30%;($27)
en-GB;ESDVS2018ULMLUG;205842;VSP ULT 2018;69.99;54.99;;20%;-21%;($15);49.99;;25%;-29%;($20);49.99;;25%;-29%;($20);48.99;;30%;-30%;($21);48.99;;30%;-30%;($21);48.99;;30%;-30%;($21)
en-US;ESDVS2018ULML;205841;VSP ULT 2018;99.99;69.99;;30%;-30%;($30);59.99;;40%;-40%;($40);59.99;;40%;-40%;($40);49.99;;50%;-50%;($50);49.99;;50%;-50%;($50);49.99;;50%;-50%;($50)
en-US;ESDVS2018ULMLUG;205842;VSP ULT 2018;79.99;54.99;;30%;-31%;($25);47.99;;40%;-40%;($32);47.99;;40%;-40%;($32);39.99;;50%;-50%;($40);39.99;;50%;-50%;($40);39.99;;50%;-50%;($40)
en-US;VS2018UMLMBAM;5143658400;VSP ULT 2018;99.99;69.99;;30%;-30%;($30);59.99;;40%;-40%;($40);59.99;;40%;-40%;($40);49.99;;50%;-50%;($50);49.99;;50%;-50%;($50);49.99;;50%;-50%;($50)
fr-FR;ESDVS2018ULML;205841;VSP ULT 2018;89,99;69,99;;20 %;-22%;($20);64.99;;25%;-28%;($25);64.99;;25%;-28%;($25);62.99;;30%;-30%;($27);62.99;;30%;-30%;($27);62.99;;30%;-30%;($27)
fr-FR;ESDVS2018ULMLUG;205842;VSP ULT 2018;69,99;54,99;;20 %;-21%;($15);49.99;;25%;-29%;($20);49.99;;25%;-29%;($20);48.99;;30%;-30%;($21);48.99;;30%;-30%;($21);48.99;;30%;-30%;($21)
ja-JP;ESDVS2018ULML;205841;VSP ULT 2018;18,144;14,515;;20%;-20%;($3,629);13608;;25%;-25%;($4,536);13608;;25%;-25%;($4,536);12700;;30%;-30%;($5,444);12700;;30%;-30%;($5,444);12700;;30%;-30%;($5,444)
ja-JP;ESDVS2018ULMLUG;205842;VSP ULT 2018;13,824;11,059;;20%;-20%;($2,765);10368;;25%;-25%;($3,456);10368;;25%;-25%;($3,456);9676;;30%;-30%;($4,148);9676;;30%;-30%;($4,148);9676;;30%;-30%;($4,148)
pt-BR;ESDVS2018ULML;205841;VSP ULT 2018;199;159;;20%;-20%;($40);149;;25%;-25%;($50);149;;25%;-25%;($50);139;;30%;-30%;($60);139;;30%;-30%;($60);139;;30%;-30%;($60)
pt-BR;ESDVS2018ULMLUG;205842;VSP ULT 2018;159;127;;20%;-20%;($32);119;;25%;-25%;($40);119;;25%;-25%;($40);111;;30%;-30%;($48);111;;30%;-30%;($48);111;;30%;-30%;($48)
